Incorporated City or Town,2020 Decennial Census Population,MGRT Tax Rate
Progreso city,"4,807",1.07%
Progreso Lakes city,257,0.00%
Prosper town,"30,174",2.00%
Providence Village town,"7,691",1.07%
Putnam town,63,0.00%
Pyote town,72,0.00%
Quanah city,"2,279",0.58%
Queen City city,"1,397",0.58%
Quinlan city,"1,414",0.58%
Quintana town,26,0.00%
Quitaque city,342,0.00%
Quitman city,"1,942",0.58%
Ralls city,"1,665",0.58%
Rancho Viejo town,"2,838",1.07%
Ranger city,"2,300",0.58%
Rangerville village,255,0.00%
Rankin city,780,0.00%
Ransom Canyon town,"1,189",0.58%
Ravenna city,175,0.00%
Raymondville city,"10,236",2.00%
Red Lick city,946,0.00%
Red Oak city,"14,222",2.00%
Redwater city,853,0.00%
Refugio town,"2,712",1.07%
Reklaw city,332,0.00%
Reno city (Lamar County),"3,454",1.07%
Reno city (Parker and Tarrant Counties),"2,878",1.07%
Retreat town,410,0.00%
Rhome city,"1,630",0.58%
Rice city,"1,203",0.58%
Richardson city,"119,469",2.00%
Richland Hills city,"8,621",1.07%
Richland Springs town,244,0.00%
Richland town,255,0.00%
Richmond city,"11,627",2.00%
Richwood city,"4,781",1.07%
Riesel city,"1,062",0.58%
Rio Bravo city,"4,450",1.07%
Rio Grande City city,"15,317",2.00%
Rio Hondo city,"2,021",0.58%
Rio Vista city,"1,008",0.58%
Rising Star town,756,0.00%
River Oaks city,"7,646",1.07%
Riverside city,522,0.00%
Road Runner town,766,0.00%
Roanoke city,"9,665",1.07%
Roaring Springs town,217,0.00%
Robert Lee city,"1,027",0.58%
Robinson city,"12,443",2.00%
Robstown city,"10,143",2.00%
Roby city,591,0.00%
Rochester town,248,0.00%
Rockdale city,"5,323",1.07%
Rockport city,"10,070",2.00%
Rocksprings town,874,0.00%
Rockwall city,"47,251",2.00%
Rocky Mound town,78,0.00%
Rogers town,"1,113",0.58%
Rollingwood city,"1,467",0.58%
Roma city,"11,561",2.00%
Roman Forest city,"1,781",0.58%
Ropesville city,430,0.00%
Roscoe city,"1,271",0.58%
Rose City city,326,0.00%
Rose Hill Acres city,325,0.00%
Rosebud city,"1,296",0.58%
Rosenberg city,"38,282",2.00%
Ross city,245,0.00%
Rosser village,301,0.00%
Rotan city,"1,332",0.58%
Round Mountain town,101,0.00%
Round Rock city,"119,468",2.00%
Round Top town,87,0.00%
Rowlett city,"62,535",2.00%
Roxton city,548,0.00%
Royse City city,"13,508",2.00%
Rule town,561,0.00%
Runaway Bay city,"1,546",0.58%
Runge town,892,0.00%
Rusk city,"5,285",1.07%
Sabinal city,"1,364",0.58%
Sachse city,"27,103",2.00%
Sadler city,336,0.00%
Saginaw city,"23,890",2.00%
Salado village,"2,394",0.58%
San Angelo city,"99,893",2.00%
San Antonio city,"1,434,625",2.00%
San Augustine city,"1,920",0.58%
San Benito city,"24,861",2.00%
San Diego city,"3,748",1.07%
San Elizario city,"10,116",2.00%
San Felipe town,691,0.00%
San Juan city,"35,294",2.00%
San Leanna village,522,0.00%
San Marcos city,"67,553",2.00%
San Patricio city,384,0.00%
San Perlita city,538,0.00%
San Saba city,"3,117",1.07%
Sanctuary town,337,0.00%
Sandy Oaks city,"5,075",1.07%
Sandy Point city,207,0.00%
Sanford town,132,0.00%
Sanger city,"8,839",1.07%
Sansom Park city,"5,454",1.07%
Santa Anna town,"1,014",0.58%
Santa Clara city,778,0.00%
Santa Fe city,"12,735",2.00%
Santa Rosa town,"2,450",0.58%
Savoy city,712,0.00%
Schertz city,"42,002",2.00%
Schulenburg city,"2,633",1.07%
Scotland city,413,0.00%
Scottsville city,334,0.00%
Scurry town,688,0.00%
Seabrook city,"13,618",2.00%
Seadrift city,995,0.00%
Seagoville city,"18,446",2.00%
Seagraves city,"2,153",0.58%
Sealy city,"6,839",1.07%
Seguin city,"29,433",2.00%
Selma city,"10,952",2.00%
Seminole city,"6,988",1.07%
Seven Oaks city,68,0.00%
Seven Points city,"1,370",0.58%
Seymour city,"2,575",1.07%
Shady Shores town,"2,764",1.07%
Shallowater city,"2,964",1.07%
Shamrock city,"1,789",0.58%
Shavano Park city,"3,524",1.07%
Shenandoah city,"3,499",1.07%
Shepherd city,"2,105",0.58%
Sherman city,"43,645",2.00%
Shiner city,"2,127",0.58%
Shoreacres city,"1,566",0.58%
Silsbee city,"6,935",1.07%
Silverton city,629,0.00%
Simonton city,647,0.00%
Sinton city,"5,504",1.07%
Skellytown town,394,0.00%
Slaton city,"5,858",1.07%
Smiley city,475,0.00%
Smithville city,"3,922",1.07%
Smyer town,441,0.00%
Snook city,506,0.00%
Snyder city,"11,438",2.00%
Socorro city,"34,306",2.00%
Somerset city,"1,756",0.58%
Somerville city,"1,312",0.58%
Sonora city,"2,502",1.07%
Sour Lake city,"1,773",0.58%
South Frydek city,207,0.00%
South Houston city,"16,153",2.00%
South Mountain town,411,0.00%
South Padre Island town,"2,066",0.58%
Southlake city,"31,265",2.00%
Southmayd city,978,0.00%
Southside Place city,"1,835",0.58%
Spearman city,"3,171",1.07%
Splendora city,"1,683",0.58%
Spofford city,41,0.00%
Spring Branch city,206,0.00%
Spring Valley Village city,"4,229",1.07%
Springlake town,145,0.00%
Springtown city,"3,064",1.07%
Spur city,863,0.00%
St. Hedwig town,"2,227",0.58%
St. Jo city,881,0.00%
St. Paul town,992,0.00%
Stafford city,"17,666",2.00%
Stagecoach town,580,0.00%
Stamford city,"2,907",1.07%
Stanton city,"2,657",1.07%
Staples city,193,0.00%
Star Harbor city,482,0.00%
Stephenville city,"20,897",2.00%
Sterling City city,"1,121",0.58%
Stinnett city,"1,650",0.58%
Stockdale city,"1,413",0.58%
Stockton Bend city,380,0.00%
Stratford city,"1,939",0.58%
Strawn city,540,0.00%
Streetman town,248,0.00%
Sudan city,940,0.00%
Sugar Land city,"111,026",2.00%
Sullivan City city,"3,908",1.07%
Sulphur Springs city,"15,941",2.00%
Sun Valley city,70,0.00%
Sundown city,"1,283",0.58%
Sunnyvale town,"7,893",1.07%
Sunray city,"1,707",0.58%
Sunrise Beach Village city,739,0.00%
Sunset Valley city,683,0.00%
Surfside Beach city,640,0.00%
Sweeny city,"3,626",1.07%
Sweetwater city,"10,622",2.00%
Taft city,"2,801",1.07%
Tahoka city,"2,375",0.58%
Talco city,494,0.00%
Talty town,"2,500",1.07%
Tatum city,"1,342",0.58%
Taylor city,"16,267",2.00%
Taylor Lake Village city,"3,704",1.07%
Taylor Landing city,278,0.00%
Teague city,"3,384",1.07%
Tehuacana town,228,0.00%
Temple city,"82,073",2.00%
Tenaha town,989,0.00%
Terrell city,"17,465",2.00%
Terrell Hills city,"5,045",1.07%
Texarkana city,"36,193",2.00%
Texas City city,"51,898",2.00%
Texhoma city,258,0.00%
Texline town,448,0.00%
The Colony city,"44,534",2.00%
The Hills village,"2,613",1.07%
Thompsons town,156,0.00%
Thorndale city,"1,263",0.58%
Thornton town,421,0.00%
Thorntonville town,561,0.00%
Thrall city,816,0.00%
Three Rivers city,"1,474",0.58%
Throckmorton town,727,0.00%
Tiki Island village,"1,106",0.58%
Timbercreek Canyon village,430,0.00%
Timpson city,989,0.00%
Tioga town,"1,142",0.58%
Tira town,319,0.00%
Toco city,91,0.00%
Todd Mission city,121,0.00%
Tolar city,941,0.00%
Tom Bean city,930,0.00%
Tomball city,"12,341",2.00%
Tool city,"2,175",0.58%
Toyah town,61,0.00%
Trent town,295,0.00%
Trenton city,743,0.00%
Trinidad city,860,0.00%
Trinity city,"2,343",0.58%
Trophy Club town,"13,688",2.00%
Troup city,"2,006",0.58%
Troy city,"2,375",0.58%
Tulia city,"4,473",1.07%
Turkey city,317,0.00%
Tuscola city,850,0.00%
Tye city,"1,176",0.58%
Tyler city,"105,995",2.00%
Uhland city,"1,588",0.58%
Uncertain city,85,0.00%
Union Grove city,441,0.00%
Union Valley city,370,0.00%
Universal City city,"19,720",2.00%
University Park city,"25,278",2.00%
Uvalde city,"15,217",2.00%
Valentine town,73,0.00%
Valley Mills city,"1,229",0.58%
Valley View city,737,0.00%
Van Alstyne city,"4,369",1.07%
Van city,"2,664",1.07%
Van Horn town,"1,941",0.58%
Vega city,879,0.00%
Venus town,"4,361",1.07%
Vernon city,"10,078",2.00%
Victoria city,"65,534",2.00%
Vidor city,"9,789",1.07%
Vinton village,"2,684",1.07%
Volente village,561,0.00%
Von Ormy city,"1,174",0.58%
Waco city,"138,486",2.00%
Waelder city,933,0.00%
Wake Village city,"5,945",1.07%
Waller city,"2,682",1.07%
Wallis city,"1,292",0.58%
Walnut Springs city,795,0.00%
Warren City city,319,0.00%
Waskom city,"1,910",0.58%
Watauga city,"23,650",2.00%
Waxahachie city,"41,140",2.00%
Weatherford city,"30,854",2.00%
Webberville village,394,0.00%
Webster city,"12,499",2.00%
Weimar city,"2,076",0.58%
Weinert city,172,0.00%
Weir city,699,0.00%
Wellington city,"1,896",0.58%
Wellman city,230,0.00%
Wells town,853,0.00%
Weslaco city,"40,160",2.00%
West city,"2,531",1.07%
West Columbia city,"3,644",1.07%
West Lake Hills city,"3,444",1.07%
West Orange city,"3,459",1.07%
West Tawakoni city,"1,895",0.58%
West University Place city,"14,955",2.00%
Westbrook city,201,0.00%
Westlake town,"1,623",0.58%
Weston city,283,0.00%
Weston Lakes city,"3,853",1.07%
Westover Hills town,641,0.00%
Westworth Village city,"2,585",1.07%
Wharton city,"8,627",1.07%
Wheeler city,"1,487",0.58%
White Deer town,918,0.00%
White Oak city,"6,225",1.07%
White Settlement city,"18,269",2.00%
Whiteface town,375,0.00%
Whitehouse city,"8,257",1.07%
Whitesboro city,"4,074",1.07%
Whitewright town,"1,725",0.58%
Whitney town,"1,992",0.58%
Wichita Falls city,"102,316",2.00%
Wickett town,422,0.00%
Willis city,"6,431",1.07%
Willow Park city,"4,936",1.07%
Wills Point city,"3,747",1.07%
Wilmer city,"4,974",1.07%
Wilson city,434,0.00%
Wimberley city,"2,839",1.07%
Windcrest city,"5,865",1.07%
Windom town,189,0.00%
Windthorst town,342,0.00%
Winfield city,422,0.00%
Wink city,915,0.00%
Winnsboro city,"3,455",1.07%
Winona town,623,0.00%
Winters city,"2,345",0.58%
Wixon Valley city,228,0.00%
Wolfe City city,"1,399",0.58%
Wolfforth city,"5,521",1.07%
Woodbranch city,"1,330",0.58%
Woodcreek city,"1,770",0.58%
Woodloch town,186,0.00%
Woodsboro town,"1,319",0.58%
Woodson town,219,0.00%
Woodville town,"2,403",0.58%
Woodway city,"9,383",1.07%
Wortham town,980,0.00%
Wylie city,"57,526",2.00%
Yantis town,405,0.00%
Yoakum city,"5,908",1.07%
Yorktown city,"1,810",0.58%
Zavalla city,603,0.00%
