Incorporated City or Town,2020 Decennial Census Population,MGRT Tax Rate
Cleburne city,"31,352",2.00%
Cleveland city,"7,471",1.07%
Clifton city,"3,465",1.07%
Clint town,923,0.00%
Clute city,"10,604",2.00%
Clyde city,"3,811",1.07%
Coahoma town,945,0.00%
Cockrell Hill city,"3,815",1.07%
Coffee City town,249,0.00%
Coldspring city,819,0.00%
Coleman city,"3,912",1.07%
College Station city,"120,511",2.00%
Colleyville city,"26,057",2.00%
Collinsville town,"1,866",0.58%
Colmesneil city,542,0.00%
Colorado City city,"3,991",1.07%
Columbus city,"3,699",1.07%
Comanche city,"4,211",1.07%
Combes town,"2,999",1.07%
Combine city,"2,245",0.58%
Commerce city,"9,090",1.07%
Como town,728,0.00%
Conroe city,"89,956",2.00%
Converse city,"27,466",2.00%
Cool city,211,0.00%
Coolidge town,778,0.00%
Cooper city,"1,911",0.58%
Coppell city,"42,983",2.00%
Copper Canyon town,"1,731",0.58%
Copperas Cove city,"36,670",2.00%
Corinth city,"22,634",2.00%
Corpus Christi city,"317,863",2.00%
Corrigan town,"1,477",0.58%
Corsicana city,"25,109",2.00%
Cottonwood city,181,0.00%
Cottonwood Shores city,"1,403",0.58%
Cotulla city,"3,718",1.07%
Coupland city,289,0.00%
Cove city,525,0.00%
Covington city,261,0.00%
Coyote Flats city,345,0.00%
Crandall city,"3,860",1.07%
Crane city,"3,478",1.07%
Cranfills Gap city,277,0.00%
Crawford town,887,0.00%
Creedmoor city,458,0.00%
Cresson city,"1,349",0.58%
Crockett city,"6,332",1.07%
Crosbyton city,"1,492",0.58%
Cross Plains town,899,0.00%
Cross Roads town,"1,744",0.58%
Cross Timber town,362,0.00%
Crowell city,769,0.00%
Crowley city,"18,070",2.00%
Crystal City city,"6,354",1.07%
Cuero city,"8,128",1.07%
Cumby city,679,0.00%
Cuney town,116,0.00%
Cushing city,557,0.00%
Cut and Shoot city,"1,087",0.58%
Daingerfield city,"2,522",1.07%
Daisetta city,923,0.00%
Dalhart city,"8,447",1.07%
Dallas city,"1,304,379",2.00%
Dalworthington Gardens city,"2,293",0.58%
Danbury city,"1,671",0.58%
Darrouzett town,309,0.00%
Dawson town,815,0.00%
Dayton city,"8,777",1.07%
Dayton Lakes city,45,0.00%
De Kalb city,"1,527",0.58%
De Leon city,"2,258",0.58%
Dean city,488,0.00%
Decatur city,"6,538",1.07%
DeCordova city,"3,007",1.07%
Deer Park city,"34,495",2.00%
Del Rio city,"34,673",2.00%
Dell City city,245,0.00%
Denison city,"24,479",2.00%
Denton city,"139,869",2.00%
Denver City town,"4,470",1.07%
Deport city,550,0.00%
DeSoto city,"56,145",2.00%
Detroit town,704,0.00%
Devers city,361,0.00%
Devine city,"4,324",1.07%
Diboll city,"4,457",1.07%
Dickens city,219,0.00%
Dickinson city,"20,847",2.00%
Dilley city,"3,274",1.07%
Dimmitt city,"4,171",1.07%
DISH town,437,0.00%
Dodd City town,369,0.00%
Dodson town,93,0.00%
Domino town,71,0.00%
Donna city,"16,797",2.00%
Dorchester city,69,0.00%
Double Oak town,"3,054",1.07%
Douglassville town,211,0.00%
Draper town,33,0.00%
Dripping Springs city,"4,650",1.07%
Driscoll city,680,0.00%
Dublin city,"3,359",1.07%
Dumas city,"14,501",2.00%
Duncanville city,"40,706",2.00%
Eagle Lake city,"3,442",1.07%
Eagle Pass city,"28,130",2.00%
Early city,"3,087",1.07%
Earth city,901,0.00%
East Bernard city,"2,218",0.58%
East Mountain city,899,0.00%
East Tawakoni city,824,0.00%
Eastland city,"3,609",1.07%
Easton city,499,0.00%
Ector city,737,0.00%
Edcouch city,"2,732",1.07%
Eden city,"1,100",0.58%
Edgecliff Village town,"3,788",1.07%
Edgewood town,"1,530",0.58%
Edinburg city,"100,243",2.00%
Edmonson town,86,0.00%
Edna city,"5,987",1.07%
Edom city,339,0.00%
El Campo city,"12,350",2.00%
El Cenizo city,"2,540",1.07%
El Lago city,"3,090",1.07%
El Paso city,"678,815",2.00%
Eldorado city,"1,574",0.58%
Electra city,"2,292",0.58%
Elgin city,"9,784",1.07%
Elkhart town,"1,287",0.58%
Elmendorf city,"1,862",0.58%
Elsa city,"5,668",1.07%
Emhouse town,187,0.00%
Emory city,"1,251",0.58%
Enchanted Oaks town,347,0.00%
Encinal city,540,0.00%
Ennis city,"20,159",2.00%
Escobares city,"2,588",1.07%
Estelline town,121,0.00%
Euless city,"61,032",2.00%
Eureka city,313,0.00%
Eustace city,"1,137",0.58%
Evant town,455,0.00%
Everman city,"6,154",1.07%
Fair Oaks Ranch city,"9,833",1.07%
Fairchilds village,864,0.00%
Fairfield city,"2,850",1.07%
Fairview town,"10,372",2.00%
Falfurrias city,"4,609",1.07%
Falls City city,514,0.00%
Farmers Branch city,"35,991",2.00%
Farmersville city,"3,612",1.07%
Farwell city,"1,425",0.58%
Fate city,"17,958",2.00%
Fayetteville city,246,0.00%
Ferris city,"2,788",1.07%
Flatonia town,"1,308",0.58%
Florence city,"1,171",0.58%
Floresville city,"7,203",1.07%
Flower Mound town,"75,956",2.00%
Floydada city,"2,675",1.07%
Follett city,373,0.00%
Forest Hill city,"13,955",2.00%
Forney city,"23,455",2.00%
Forsan city,225,0.00%
Fort Stockton city,"8,466",1.07%
Fort Worth city,"918,915",2.00%
Franklin city,"1,614",0.58%
Frankston town,"1,126",0.58%
Fredericksburg city,"10,875",2.00%
Freeport city,"10,696",2.00%
Freer city,"2,461",0.58%
Friendswood city,"41,213",2.00%
Friona city,"4,171",1.07%
Frisco city,"200,509",2.00%
Fritch city,"1,859",0.58%
Frost city,620,0.00%
Fruitvale city,476,0.00%
Fulshear city,"16,856",2.00%
Fulton town,"1,523",0.58%
Gainesville city,"17,394",2.00%
Galena Park city,"10,740",2.00%
Gallatin city,321,0.00%
Galveston city,"53,695",2.00%
Ganado city,"1,975",0.58%
Garden Ridge city,"4,186",1.07%
Garland city,"246,018",2.00%
Garrett town,829,0.00%
Garrison city,789,0.00%
Gary City town,335,0.00%
Gatesville city,"16,135",2.00%
George West city,"2,171",0.58%
Georgetown city,"67,176",2.00%
Gholson city,"1,250",0.58%
Giddings city,"4,969",1.07%
Gilmer city,"4,843",1.07%
Gladewater city,"6,134",1.07%
Glen Rose city,"2,659",1.07%
Glenn Heights city,"15,819",2.00%
Godley city,"1,450",0.58%
